#time "field x" "field y" "field z"
### ### ### ###
0.0 0.01 0.01 0.01
0.01 0.01 0.01 0.01
0.02 0.01 0.01 0.01
0.03 0.01 0.01 0.01
0.04 0.01 0.01 0.01
0.05 0.01 0.01 0.01
0.06 0.01 0.01 0.01
0.07 0.01 0.01 0.01
0.08 0.01 0.01 0.01
0.09 0.01 0.01 0.01
0.1 0.01 0.01 0.01
0.11 0.01 0.01 0.01
0.12 0.01 0.01 0.01
0.13 0.01 0.01 0.01
0.14 0.01 0.01 0.01
0.15 0.01 0.01 0.01
0.16 0.01 0.01 0.01
0.17 0.01 0.01 0.01
0.18 0.01 0.01 0.01
0.19 0.01 0.01 0.01
0.2 0.01 0.01 0.01
0.21 0.01 0.01 0.01
0.22 0.01 0.01 0.01
0.23 0.01 0.01 0.01
0.24 0.01 0.01 0.01
0.25 0.01 0.01 0.01
0.26 0.01 0.01 0.01
0.27 0.01 0.01 0.01
0.28 0.01 0.01 0.01
0.29 0.01 0.01 0.01
0.3 0.01 0.01 0.01
0.31 0.01 0.01 0.01
0.32 0.01 0.01 0.01
0.33 0.01 0.01 0.01
0.34 0.01 0.01 0.01
0.35000000000000003 0.01 0.01 0.01
0.36 0.01 0.01 0.01
0.37 0.01 0.01 0.01
0.38 0.01 0.01 0.01
0.39 0.01 0.01 0.01
0.4 0.01 0.01 0.01
0.41000000000000003 0.01 0.01 0.01
0.42 0.01 0.01 0.01
0.43 0.01 0.01 0.01
0.44 0.01 0.01 0.01
0.45 0.01 0.01 0.01
0.46 0.01 0.01 0.01
0.47000000000000003 0.01 0.01 0.01
0.48 0.01 0.01 0.01
0.49 0.01 0.01 0.01
0.5 0.01 0.01 0.01
0.51 0.01 0.01 0.01
0.52 0.01 0.01 0.01
0.53 0.01 0.01 0.01
0.54 0.01 0.01 0.01
0.55 0.01 0.01 0.01
0.56 0.01 0.01 0.01
0.5700000000000001 0.01 0.01 0.01
0.58 0.01 0.01 0.01
0.59 0.01 0.01 0.01
0.6 0.01 0.01 0.01
0.61 0.01 0.01 0.01
0.62 0.01 0.01 0.01
0.63 0.01 0.01 0.01
0.64 0.01 0.01 0.01
0.65 0.01 0.01 0.01
0.66 0.01 0.01 0.01
0.67 0.01 0.01 0.01
0.68 0.01 0.01 0.01
0.6900000000000001 0.01 0.01 0.01
0.7000000000000001 0.01 0.01 0.01
0.71 0.01 0.01 0.01
0.72 0.01 0.01 0.01
0.73 0.01 0.01 0.01
0.74 0.01 0.01 0.01
0.75 0.01 0.01 0.01
0.76 0.01 0.01 0.01
0.77 0.01 0.01 0.01
0.78 0.01 0.01 0.01
0.79 0.01 0.01 0.01
0.8 0.01 0.01 0.01
0.81 0.01 0.01 0.01
0.8200000000000001 0.01 0.01 0.01
0.8300000000000001 0.01 0.01 0.01
